Screen	name	Replicate	TSS_qPCR	qPCR_Date	TSS_Override	Notes	Astrios FlowFISH Fold Change	Cytoflex FlowFISH Fold Change	FlowFISH Date	Sort Date	Seq Date
ASNA1-R2	ASNA1	2	0.15	Assumed				2.3			
BAX-R1	BAX	1	0.15	Assumed				2.9			
BAX-R2	BAX	2	0.15	Assumed							
BCAT2-R1	BCAT2	1	0.15	Assumed				2.4			
BCAT2-R2	BCAT2	2	0.15	Assumed							
C19orf43-R2	C19orf43	2	0.15	Assumed				3.5			
C19orf43-R3	C19orf43	3	0.15	Assumed							
CALR-R3	CALR	3	0.15	Assumed				6.2			
CALR-R4	CALR	4	0.15	Assumed							
CBX5-R2	CBX5	2	0.15	Assumed				2.9			
CNBP-R3	CNBP	3	0.15	Assumed				3.4			
CNBP-R4	CNBP	4	0.15	Assumed							
COPG-R1	COPG1	1	0.15	Assumed				4.7			
COPZ1-R1	COPZ1	1	0.15	Assumed				3.3			
DHPS-R1	DHPS	1	0.15	Assumed				2.7			
DNASE2-R2	DNASE2	2	0.15	Assumed				2.4			
DNASE2-R3	DNASE2	3	0.15	Assumed				2.4			
EBP-3	EBP	3	0.15	Assumed		Cytoflex estimated		3			
EBP-4	EBP	4	0.15	Assumed							
FTL-R1	FTL	1	0.15	Assumed				15.5			
FTL-R2	FTL	2	0.15	Assumed							
FUT1-R1	FUT1	1	0.15	Assumed	49258647	Dont have guides at TSS used in K562		2.3			
FUT1-R2	FUT1	2	0.15	Assumed	49258647	Dont have guides at TSS used in K562					
GATA1-1	GATA1	1	0.15	Assumed				7.3			
GATA1-2	GATA1	2	0.15	Assumed				7			
GATA1-3	GATA1	3	0.15	Assumed				6.6			
GATA1-4	GATA1	4	0.15	Assumed				6.5			
GATA1-5	GATA1	5	0.15	Assumed				10.7	170802		
GATA1-6	GATA1	6	0.15	Assumed				11.5	170802		
GATA2-R1	GATA2	1	0.15	Assumed				3.4			
GATA2-R3	GATA2	3	0.15	Assumed				3.5			
H1FX-R2	H1FX	2	0.15	Assumed				2.8			
H1FX-R3	H1FX	3	0.15	Assumed				3			
HDAC6-1	HDAC6	1	0.15	Assumed				3.1	170227		
HDAC6-2	HDAC6	2	0.15	Assumed				3.2	170227		
HDAC6-R5	HDAC6	5	0.15	Assumed							
HDAC6-R6	HDAC6	6	0.15	Assumed							
HNRNPA1-R1	HNRNPA1	1	0.15	Assumed				3.9			
ITGA5-R1	ITGA5	1	0.15	Assumed				4			
JUNB-R1	JUNB	1	0.15	Assumed				2.2			
JUNB-R2	JUNB	2	0.15	Assumed							
KLF1-R1	KLF1	1	0.15	Assumed				4			
KLF1-R3	KLF1	3	0.15	Assumed							
LYL1-R1	LYL1	1	0.15	Assumed				2.7			
LYL1-R2	LYL1	2	0.15	Assumed							
NFE2-R1	NFE2	1	0.15	Assumed	54689563			3.5			
NUCB1-R1	NUCB1	1	0.15	Assumed				9.4			
NUCB1-R2	NUCB1	2	0.15	Assumed							
OTUD5-5	OTUD5	5	0.15	Assumed				11.4	170802		
OTUD5-6	OTUD5	6	0.15	Assumed				9.7	170802		
PIM2-1	PIM2	1	0.15	Assumed				3.9	170227		
PIM2-2	PIM2	2	0.15	Assumed				4.2	170227		
PIM2-R3	PIM2	3	0.15	Assumed							
PIM2-R5	PIM2	5	0.15	Assumed							
PLP2-R1	PLP2	1	0.15	Assumed	49028955			6.2	170911		
PLP2-R2	PLP2	2	0.15	Assumed	49028955			7.6	170911		
PPP1R15A-R1	PPP1R15A	1	0.15	Assumed				3.7			
PPP1R15A-R2	PPP1R15A	2	0.15	Assumed							
PQBP1-1	PQBP1	1	0.15	Assumed				2.1	170227		
PQBP1-2	PQBP1	2	0.15	Assumed				2.4	170227		
PQBP1-R5	PQBP1	5	0.15	Assumed							
PQBP1-R6	PQBP1	6	0.15	Assumed							
PRDX2-R1	PRDX2	1	0.15	Assumed				3.5			
PRDX2-R2	PRDX2	2	0.15	Assumed				4.4			
PRDX2-R3	PRDX2	3	0.15	Assumed				5.3			
RAB7A-R2	RAB7A	2	0.15	Assumed				2.7			
RAB7A-R3	RAB7A	3	0.15	Assumed							
RAD23A-R2	RAD23A	2	0.15	Assumed				4.6			
RAD23A-R3	RAD23A	3	0.15	Assumed							
RNASEH2A-R2	RNASEH2A	2	0.15	Assumed				2.4			
RNASEH2A-R3	RNASEH2A	3	0.15	Assumed				2.5			
RPN1-R3	RPN1	3	0.15	Assumed							
RPN1-R4	RPN1	4	0.15	Assumed				5.5			
SEC61A1-R2	SEC61A1	2	0.15	Assumed				3.9			
SEC61A1-R3	SEC61A1	3	0.15	Assumed							
SLC35A2-R1	SLC35A2	1	0.15	Assumed				9.1	170911		
SLC35A2-R2	SLC35A2	2	0.15	Assumed				9.5	170911		
SLC38A5-R1	SLC38A5	1	0.15	Assumed				8.3			
SLC38A5-R2	SLC38A5	2	0.15	Assumed							
SUV39H1-R1	SUV39H1	1	0.15	Assumed							
SUV39H1-R2	SUV39H1	2	0.15	Assumed		Cytoflex estimated		3			
SUV39H1-R3	SUV39H1	3	0.15	Assumed							
SUV39H1-R4	SUV39H1	4	0.15	Assumed							
TIMM17B-R1	TIMM17B	1	0.15	Assumed				9.8	170911		
TIMM17B-R2	TIMM17B	2	0.15	Assumed				8.9	170911		
TNPO2-R2	TNPO2	2	0.15	Assumed				2.2			
WAS-1	WAS	1	0.15	Assumed							
WAS-2	WAS	2	0.15	Assumed							
WDR83OS-R1	WDR83OS	1	0.15	Assumed				3.4	180124		180129
WDR83OS-R2	WDR83OS	2	0.15	Assumed							
ZNF385A-R1	ZNF385A	1	0.15	Assumed				2.3	171120		
ZNF385A-R3	ZNF385A	3	0.15	Assumed				2.6	180205		
RBM3-0	RBM3	0	0.15	Assumed		Cytoflex estimated		1.5			
RUVBL1-0	RUVBL1	0	0.15	Assumed				1.7			
FARSA-R2	FARSA	2	0.15	Assumed				2.6			
MYC-1	MYC	1	0.15	Assumed	128748477						
HBE1-1	HBE1	1	0.15	Assumed	5291174						
CD83-R21	CD83	21	0.15	Assumed		VEE1					
CD83-R22	CD83	22	0.15	Assumed		VEE1					
CD83-R23	CD83	23	0.15	Assumed		VEE1					
CD83-R24	CD83	24	0.15	Assumed		VEE1					
DNMT3L-R1	DNMT3L	1	0.15	Assumed		VEE1					
GATA1-R10	GATA1	10	0.15	Assumed		"GATA1 miniscreen, same cells as R11. Compensated"					
GATA1-R11	GATA1	11	0.15	Assumed		"GATA1 miniscreen, same cells as R10. Uncompensated"					
